CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
2103468,18183,47688,2008,4,5,4,5,4
2102557,18183,47595,2008,4,5,5,5,3
30462,18183,9869,2008,4,5,4,5,4
2176341,18183,51128,2008,4,4,4,4,4
2173212,18183,51254,1019,4,4,4,4,4
2172910,18183,50714,2008,4,4,4,4,4
2160198,18183,49333,2003,4,4,3,4,5
2160196,18183,49742,2008,4,4,3,3,4
2176234,18183,15987,1018,4,3,3,3,4
2173213,18183,51139,2008,4,3,3,3,4
2176237,18183,39030,1019,3,4,4,4,3
42212,18183,11674,1019,3,3,3,4,4
2172911,18183,50772,2008,3,4,2,4,3
42897,18183,1799,2008,2,5,4,5,1
2175755,18183,50036,1019,2,4,3,4,2
2134872,18183,49046,1014,3,2,1,3,2
2175811,18183,15007,1003,2,3,1,3,2
29828,18183,10641,2008,1,4,2,4,1
2184585,18204,31806,1022,5,5,5,5,5
2113442,18204,19238,2026,5,3,4,4,5
2056614,18204,13830,1022,5,5,3,4,4
174594,18204,17737,2013,5,2,4,3,4
174592,18204,1071,1022,5,5,2,3,3
29618,18204,3722,1015,4,5,3,4,3
29528,18204,10757,2008,4,5,2,4,4
29527,18204,10164,1003,3,3,2,3,2
174590,18204,16284,1022,2,4,2,3,2
29611,18204,8209,1017,2,2,3,3,2
2069601,18204,23365,2015,2,2,1,2,3
78427,18278,9809,1022,4,4,5,4,3
152941,18278,9904,1019,4,4,3,4,3
119553,18278,5592,3006,4,3,3,5,3
47302,18278,12160,2001,3,4,4,4,4
1877186,18278,1549,1022,4,2,2,2,4
153004,18278,441,3006,2,4,3,2,4
1896742,18278,11125,1004,2,3,3,4,2
152989,18278,15656,2022,2,3,2,3,4
121596,18278,15694,1022,2,3,2,4,2
153151,18278,14200,3006,2,3,1,3,3
1916914,18278,5592,3006,2,2,2,4,1
119837,18278,1646,1019,2,2,3,2,2
1882374,18278,17213,1022,2,2,2,2,2
174467,18278,13433,2019,2,2,2,3,1
2133783,18278,11719,1022,1,3,3,3,1
29976,18278,1615,2015,1,3,1,4,1
111144,18278,3197,2008,1,3,1,2,1
130346,18320,7661,2010,5,3,4,4,4
128771,18320,4198,2021,5,3,3,3,5
128860,18320,8532,3018,5,3,3,4,4
125796,18320,16463,4001,4,5,4,5,4
1972697,18320,17993,3020,4,4,4,5,4
1972678,18320,10561,2028,4,4,4,4,5
62717,18320,1889,2019,4,4,4,4,5
1975556,18320,21906,3020,4,4,4,4,4
1973913,18320,7198,4004,4,4,4,4,4
65397,18320,4156,2011,4,4,4,4,4
62708,18320,10583,3015,4,4,4,4,4
1902949,18320,17211,3020,4,4,4,3,4
130579,18320,6380,2010,4,4,4,4,3
65174,18320,7723,2010,4,3,4,4,4
63292,18320,10421,3015,4,4,3,4,4
1903918,18320,21176,3020,4,3,3,4,4
2076486,18320,17266,2029,4,3,1,4,3
131461,18320,9953,2010,3,4,3,4,4
128755,18320,5907,3018,3,4,3,4,3
88376,18320,10590,2010,3,4,4,3,3
1902218,18320,22097,3020,3,4,3,3,3
130291,18320,10871,1024,3,4,3,3,3
1972752,18320,19477,2008,2,5,4,5,2
132083,18320,10497,1019,3,3,3,3,3
130421,18320,13888,2010,3,3,3,3,3
130339,18320,11246,2010,3,3,3,3,3
129165,18320,7570,2010,3,3,3,3,3
128007,18320,13168,2008,3,3,3,3,3
1902930,18320,10468,1004,3,3,2,3,2
2180187,18324,50093,2010,5,5,5,5,5
2041650,18324,38124,1001,5,4,5,4,5
2127085,18324,48493,2010,5,4,5,4,4
2114757,18324,48155,2008,5,4,4,4,5
2197635,18324,64323,1003,5,3,4,4,5
2123695,18324,48287,2028,5,4,5,4,3
2113723,18324,47235,3015,5,2,5,4,5
2103729,18324,47689,3018,5,3,5,4,4
2126503,18324,48546,2010,5,3,5,4,3
2138989,18324,49542,2029,4,4,5,4,5
2107221,18324,47486,2010,5,3,3,3,5
2189633,18324,55909,3003,4,4,5,4,4
2102055,18324,47607,2028,4,4,5,4,4
178664,18324,14928,3003,5,3,4,3,3
177006,18324,18662,2028,5,2,4,2,5
2104976,18324,17037,1001,4,4,4,4,4
2046113,18324,30806,2010,4,3,3,5,5
2032258,18324,35179,3015,4,3,4,4,5
2027294,18324,32524,3003,4,3,5,4,4
2011963,18324,32480,2019,4,4,4,4,4
1956147,18324,6863,2008,4,5,3,4,4
1956035,18324,26283,2008,4,4,4,5,3
146468,18324,15797,3003,4,3,4,3,4
2125007,18324,47855,2019,4,2,3,3,4
1974888,18324,26986,2001,4,2,3,5,2
2125936,18324,48712,2010,3,3,4,4,3
2124196,18324,16414,1022,3,3,4,3,4
2009230,18327,14641,1003,5,5,5,5,5
1977140,18327,11720,2008,5,5,5,5,5
142360,18327,10085,1014,5,5,5,5,5
2210372,18327,1799,2008,5,5,5,5,4
2111258,18327,25845,1003,5,5,5,5,4
1991091,18327,1966,1003,5,5,5,4,5
1963669,18327,17302,1003,5,5,4,5,5
1960608,18327,14483,1003,5,5,5,5,4
1958504,18327,17552,1025,5,5,5,4,5
1937125,18327,1252,2008,5,4,5,5,5
2209405,18327,50643,1022,5,5,4,4,5
2068372,18327,38133,1003,5,4,5,4,5
2064679,18327,36252,1003,5,4,5,4,5
1990654,18327,3100,1022,5,4,5,4,5
1979209,18327,21925,1003,5,4,5,4,5
1967728,18327,24168,8808,5,3,5,5,5
1965855,18327,23644,1003,5,4,5,4,5
2073420,18352,13105,3002,5,4,4,4,5
2023692,18352,23313,3002,5,4,4,4,4
