CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
32755,16672,11438,1019,5,4,3,4,4
41542,16672,3816,2022,5,3,4,3,4
37280,16672,10865,1019,5,4,4,3,3
46748,16672,11948,2005,5,3,4,3,3
43805,16672,6327,1019,5,2,4,3,4
36275,16672,4116,1014,5,3,4,3,3
33019,16672,9785,1019,4,4,5,5,3
43577,16672,11948,2005,4,3,5,4,4
37841,16672,6952,3003,4,3,4,4,5
56471,16672,13168,2008,4,4,4,4,3
47160,16672,12324,1019,4,4,4,4,3
40274,16672,11718,2008,4,4,3,5,3
38145,16672,1921,2010,5,3,3,3,2
37920,16672,10348,1019,4,5,3,4,3
36343,16672,10684,2008,4,5,3,4,3
150757,16672,17389,1003,4,5,2,4,3
56826,16672,12676,2028,4,3,5,3,3
53347,16672,6610,1019,4,3,4,3,4
52137,16672,2477,1022,4,4,3,3,4
47077,16672,11438,1019,4,3,3,4,4
39488,16672,11861,1019,4,3,3,4,4
37843,16672,11752,2008,4,5,4,3,2
43782,16672,6929,1019,4,3,3,4,3
35565,16672,7345,1019,4,3,4,3,3
35188,16672,7687,1019,4,5,1,4,3
24619,16672,734,2001,5,2,3,3,1
100146,16692,2938,2008,5,4,5,5,4
1878661,16692,12383,1019,5,4,4,4,4
49153,16692,778,2008,5,4,4,4,4
1990838,16692,13761,2008,5,3,3,4,4
1857264,16692,12152,1026,5,3,4,3,4
1961129,16692,26359,1022,4,4,5,4,4
1945260,16692,26024,2015,4,4,4,4,5
1944041,16692,8555,2009,4,4,4,4,5
1936650,16692,3249,2008,4,4,4,4,5
147107,16692,12122,2010,4,4,5,4,4
60803,16692,10159,1019,5,3,4,3,3
57187,16692,3023,1001,5,3,3,3,4
2016514,16692,31167,1003,4,4,4,4,4
2013629,16692,31687,1019,4,4,5,4,3
2008547,16692,24443,8808,4,4,3,4,5
2000850,16692,31507,1001,4,4,4,4,4
1960578,16692,26358,2008,4,4,4,4,4
1943600,16692,22674,2008,4,4,4,3,5
1942678,16692,812,1022,4,4,4,4,4
1941727,16692,11855,1026,5,3,3,3,3
1870794,16692,13165,3006,4,3,4,4,5
1869543,16692,19916,1001,4,4,4,3,5
1864415,16692,3692,1003,4,4,4,4,4
1864026,16692,10646,1022,4,4,5,3,4
161960,16692,16643,1019,4,4,4,4,4
158486,16692,10776,1019,4,4,4,4,4
112101,16692,15114,1019,4,4,4,4,4
91326,16692,6208,1022,4,4,5,4,3
62176,16692,13740,1022,5,3,3,3,3
2105357,16700,24039,8888,5,4,4,4,3
23055,16700,6151,3012,5,3,4,4,4
27728,16700,10570,3007,4,4,4,4,4
2128636,16700,41191,2010,4,4,4,4,3
2005523,16700,18394,1022,4,4,4,4,3
173875,16700,16896,2001,4,4,4,4,3
145582,16700,12502,2008,4,3,3,4,3
121340,16700,7083,3002,4,4,3,3,3
117474,16700,13318,1001,4,3,4,3,3
1918748,16700,10961,2010,4,3,3,4,2
2105356,16700,25563,8801,3,4,4,4,3
2095622,16700,31716,7202,3,4,4,4,3
1975487,16700,7705,2029,4,2,4,2,2
2104097,16700,23962,8904,3,4,3,4,2
1927174,16700,542,2010,3,3,4,4,2
