shopID,price,districtID,dishID,numLike,numOK,numDislike,tasteAvg,environmentAvg,serviceAvg,shopInfo,moneyAvg,scoreWhole
3023,Below40,1001, 1018,122,45,14,3.85,2.7,3.03,2.98,3.45,3.41
9809,15to$30,1022,,136,30,21,3.57,3.87,4.15,3.9,3.37,3.66
244,15to$30,2008, 1032,77,18,11,3.75,3.75,3.78,4.0,3.51,3.72
8745,41to100,3003,,55,26,10,3.62,3.33,3.51,3.29,3.71,3.5
10585,41to100,3005,,16,8,6,3.37,3.4,4.03,3.87,2.93,3.43
3897,41to100,3005, 1009 1020 1036,13,11,7,3.19,2.87,2.65,2.77,3.38,3.04
2790,41to100,2030,,13,4,4,3.52,3.76,3.38,3.76,2.76,3.47
8774,10to$15,3003, 1022,64,20,32,3.33,3.12,2.72,3.07,3.19,3.14
8288,Below40,1019,,31,6,3,3.85,3.63,3.79,3.65,3.15,3.66
3189,Below40,3005, 1010 1014,5,3,1,3.67,3.22,3.0,3.44,3.78,3.48
10735,41to100,2010, 1001,26,25,48,2.88,2.6,2.35,2.66,2.36,2.65
3702,41to100,3018, 1022,62,13,7,3.7,3.93,3.72,3.87,3.27,3.66
158,Below40,3005,,16,4,21,2.89,3.67,2.78,3.39,2.61,2.97
6274,10to$15,3005,,58,14,11,3.6,3.54,3.47,3.64,3.3,3.5
12477,41to100,2008, 1005,45,26,15,3.33,3.6,3.24,3.74,2.95,3.32
25513,Below40,2005,,5,3,3,3.0,2.45,2.36,2.91,3.18,2.83
8476,Below40,3005, 1010,8,1,0,4.11,3.56,3.67,3.67,4.22,3.83
7766,41to100,3005, 1005 1034,4,1,3,3.13,3.75,3.31,4.19,3.06,3.32
31751,41to100,1022, 1005 1008 1014 1037,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11439,41to100,1003,,25,5,1,3.74,3.24,3.34,3.39,3.81,3.58
31319,Below40,3018, 1010,4,5,0,3.56,3.22,3.11,3.22,3.78,3.42
3756,10to$15,2008,,137,50,40,3.44,3.71,3.67,3.56,3.09,3.44
30586,Below40,7105, 1010,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4106,Below40,2010, 1014,21,9,7,3.38,2.59,2.92,2.65,3.41,3.12
3919,41to100,2010, 1020,7,1,1,3.44,2.89,3.67,3.22,4.0,3.41
9734,15to$30,1019, 1034,58,25,25,3.39,3.59,3.09,3.65,2.8,3.29
30030,Below40,7208,,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,,1017, 1008,129,18,11,3.98,4.59,4.36,4.41,3.36,4.04
29287,,7103, 1001,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
